Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000dssh,8,"Wednesday, November 14, 2012 23:41:53 UTC",-5.7427,151.5574,5.4,6.00,125,"New Britain region, Papua New Guinea"
us,c000dski,7,"Wednesday, November 14, 2012 19:02:05 UTC",-29.1568,-71.2719,6.1,61.80,515,"Coquimbo, Chile"
us,c000dsj6,7,"Wednesday, November 14, 2012 18:22:31 UTC",-14.4505,173.7178,5.2,599.70,231,"Fiji region"
ak,10600201,2,"Wednesday, November 14, 2012 16:52:13 UTC",52.1446,-173.5702,3.9,16.90,14,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10600190,1,"Wednesday, November 14, 2012 16:13:38 UTC",57.4542,-142.7907,3.0,0.10,15,"Gulf of Alaska"
ak,10600182,1,"Wednesday, November 14, 2012 15:57:14 UTC",57.6160,-142.7696,3.1,15.00,17,"Gulf of Alaska"
ak,10600156,1,"Wednesday, November 14, 2012 12:39:01 UTC",57.8673,-142.6946,3.1,46.80,19,"Gulf of Alaska"
us,c000dsf7,3,"Wednesday, November 14, 2012 11:43:01 UTC",26.6719,102.5105,4.7,46.00,19,"Sichuan-Yunnan border region, China"
us,c000dsfa,4,"Wednesday, November 14, 2012 11:40:59 UTC",-20.9188,-173.8759,4.5,46.00,128,"Tonga"
us,c000dsdj,6,"Wednesday, November 14, 2012 09:15:51 UTC",-30.0707,-174.5414,4.8,32.50,22,"Kermadec Islands region"
us,c000dsck,7,"Wednesday, November 14, 2012 07:41:58 UTC",-20.6661,-174.0458,5.1,39.60,156,"Tonga"
us,c000dscg,7,"Wednesday, November 14, 2012 07:24:28 UTC",35.6722,29.9275,4.7,10.10,53,"eastern Mediterranean Sea"
pr,12319001,0,"Wednesday, November 14, 2012 07:23:04 UTC",18.1266,-67.1126,2.6,63.00, 3,"Puerto Rico"
uw,60474277,1,"Wednesday, November 14, 2012 07:10:45 UTC",44.5900,-125.1368,2.6,41.10,17,"offshore Oregon"
us,c000dsbw,9,"Wednesday, November 14, 2012 05:21:43 UTC",9.9914,122.4305,5.6,46.40,197,"Negros, Philippines"
ak,10600049,1,"Wednesday, November 14, 2012 04:26:01 UTC",57.1544,-143.0182,3.1,66.20,17,"Gulf of Alaska"
us,c000dsb2,4,"Wednesday, November 14, 2012 03:04:46 UTC",51.8201,-130.5590,4.7,15.30,207,"Queen Charlotte Islands, Canada region"
pr,12319000,0,"Wednesday, November 14, 2012 01:10:00 UTC",17.8584,-66.1682,3.0,4.00,15,"Puerto Rico region"
uw,60474147,1,"Wednesday, November 14, 2012 00:49:54 UTC",44.0372,-121.2527,2.8,0.00,22,"Oregon"
us,c000ds9y,8,"Wednesday, November 14, 2012 00:43:04 UTC",17.4559,-93.2990,4.6,38.30,143,"Chiapas, Mexico"
us,c000ds8v,7,"Wednesday, November 14, 2012 00:09:45 UTC",15.3146,-90.6554,4.3,79.50,21,"Guatemala"
us,c000ds8m,6,"Wednesday, November 14, 2012 00:02:00 UTC",37.2512,37.1476,4.2,10.00,21,"central Turkey"
us,c000ds8k,D,"Wednesday, November 14, 2012 00:00:45 UTC",-27.3717,-69.1227,4.8,91.40,215,"Atacama, Chile"
ak,10602088,2,"Tuesday, November 13, 2012 23:57:24 UTC",57.5508,-142.8714,2.5,10.00,27,"Gulf of Alaska"
us,c000ds8h,7,"Tuesday, November 13, 2012 23:55:49 UTC",37.1386,37.0960,4.5,11.00,51,"central Turkey"
nc,71885741,5,"Tuesday, November 13, 2012 23:50:03 UTC",40.4492,-125.9713,3.5,22.80,41,"off the coast of Northern California"
us,c000ds8f,4,"Tuesday, November 13, 2012 23:43:36 UTC",51.7443,177.0201,4.5,60.40,45,"Rat Islands, Aleutian Islands, Alaska"
us,c000ds7u,C,"Tuesday, November 13, 2012 23:24:09 UTC",42.5395,19.0011,4.6,9.80,77,"Montenegro"
us,c000ds7z,B,"Tuesday, November 13, 2012 23:23:49 UTC",-21.0416,-175.9344,5.4,27.10,282,"Tonga"
ak,10602081,2,"Tuesday, November 13, 2012 21:56:26 UTC",57.6526,-142.8449,2.5,10.00,19,"Gulf of Alaska"
ak,10602080,2,"Tuesday, November 13, 2012 21:55:34 UTC",54.5843,-161.7417,2.5,20.40, 8,"Alaska Peninsula"
ak,10599564,2,"Tuesday, November 13, 2012 21:06:10 UTC",57.5494,-142.8735,3.2,10.00,61,"Gulf of Alaska"
ak,10599540,3,"Tuesday, November 13, 2012 20:21:52 UTC",57.6099,-142.8427,2.5,11.90,30,"Gulf of Alaska"
ak,10602074,2,"Tuesday, November 13, 2012 20:04:23 UTC",57.6679,-142.8038,2.5,10.00,22,"Gulf of Alaska"
us,c000drwl,4,"Tuesday, November 13, 2012 18:28:14 UTC",22.8280,95.9430,4.9,21.80,49,"Myanmar"
ak,10602069,2,"Tuesday, November 13, 2012 18:21:27 UTC",57.5542,-142.8337,2.5,10.00,24,"Gulf of Alaska"
ak,10599478,3,"Tuesday, November 13, 2012 18:14:47 UTC",57.6210,-142.8186,2.6,10.00,37,"Gulf of Alaska"
ak,10599391,2,"Tuesday, November 13, 2012 14:53:09 UTC",57.5471,-142.8843,2.7,11.60,50,"Gulf of Alaska"
ak,10602046,2,"Tuesday, November 13, 2012 13:40:22 UTC",57.6049,-142.8379,2.5,12.00,26,"Gulf of Alaska"
nc,71881720,6,"Tuesday, November 13, 2012 13:40:05 UTC",39.0457,-123.0908,3.3,3.00,79,"Northern California"
ak,10599352,3,"Tuesday, November 13, 2012 13:15:30 UTC",57.4910,-142.7774,2.7,11.00,34,"Gulf of Alaska"
us,c000drpn,3,"Tuesday, November 13, 2012 12:42:50 UTC",0.2740,122.3120,4.3,155.00,39,"Minahasa, Sulawesi, Indonesia"
ak,10602038,2,"Tuesday, November 13, 2012 12:22:25 UTC",57.5754,-142.6572,2.5,10.00,19,"Gulf of Alaska"
us,c000drpf,5,"Tuesday, November 13, 2012 12:13:18 UTC",-16.6715,-175.7467,4.8,176.50,30,"Tonga"
us,c000drpd,6,"Tuesday, November 13, 2012 12:12:08 UTC",-4.8863,103.0243,4.6,67.40,49,"southern Sumatra, Indonesia"
ak,10599314,2,"Tuesday, November 13, 2012 11:40:48 UTC",57.5272,-142.8380,3.1,12.00,59,"Gulf of Alaska"
ak,10599310,3,"Tuesday, November 13, 2012 11:28:42 UTC",50.6380,-175.1119,3.1,25.70,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10599288,3,"Tuesday, November 13, 2012 09:45:54 UTC",57.6257,-142.8526,2.5,10.90,28,"Gulf of Alaska"
ak,10599278,3,"Tuesday, November 13, 2012 09:20:41 UTC",57.6709,-143.0245,2.6,12.00,32,"Gulf of Alaska"
us,c000drn8,6,"Tuesday, November 13, 2012 09:08:01 UTC",13.8713,-92.3321,4.8,34.80,254,"offshore Guatemala"
us,c000drn3,A,"Tuesday, November 13, 2012 08:35:14 UTC",37.1039,-104.8564,2.7,5.00,36,"Colorado"
ak,10599264,2,"Tuesday, November 13, 2012 08:31:11 UTC",56.7179,-157.3766,2.7,79.40,38,"Alaska Peninsula"
ak,10602021,2,"Tuesday, November 13, 2012 07:58:10 UTC",57.5323,-142.8044,2.6,11.20,27,"Gulf of Alaska"
ak,10602019,2,"Tuesday, November 13, 2012 07:37:45 UTC",57.5659,-142.8328,2.7,11.80,34,"Gulf of Alaska"
us,c000drmp,5,"Tuesday, November 13, 2012 07:34:19 UTC",52.8244,-132.4372,4.3,10.10,238,"Queen Charlotte Islands, Canada region"
us,c000drmk,7,"Tuesday, November 13, 2012 07:17:02 UTC",11.9646,-86.4206,4.3,140.60,140,"near the coast of Nicaragua"
us,c000drmh,7,"Tuesday, November 13, 2012 07:06:33 UTC",38.2304,15.9007,4.4,81.90,46,"Sicily, Italy"
ak,10602015,2,"Tuesday, November 13, 2012 07:05:04 UTC",57.5952,-142.8028,2.5,11.90,32,"Gulf of Alaska"
us,c000drml,3,"Tuesday, November 13, 2012 06:48:19 UTC",29.7169,-42.5989,4.9,10.10,159,"northern Mid-Atlantic Ridge"
us,c000drma,6,"Tuesday, November 13, 2012 06:44:17 UTC",-3.0059,139.6024,4.8,48.40,36,"Papua, Indonesia"
us,c000drme,4,"Tuesday, November 13, 2012 06:21:32 UTC",29.8391,-42.7953,4.8,10.10,141,"northern Mid-Atlantic Ridge"
us,c000drlw,6,"Tuesday, November 13, 2012 05:31:57 UTC",13.7682,-92.0536,4.8,36.40,275,"offshore Guatemala"
us,c000drlm,9,"Tuesday, November 13, 2012 04:55:48 UTC",52.8231,-132.0062,5.1,9.80,378,"Queen Charlotte Islands, Canada region"
us,c000drlb,9,"Tuesday, November 13, 2012 04:31:27 UTC",-45.7438,-77.1419,6.0,9.70,171,"off the coast of Aisen, Chile"
ak,10599189,2,"Tuesday, November 13, 2012 04:14:33 UTC",57.5598,-142.8176,2.6,10.00,41,"Gulf of Alaska"
ak,10601994,2,"Tuesday, November 13, 2012 04:04:43 UTC",57.5585,-142.8219,2.6,10.00,29,"Gulf of Alaska"
us,c000drkq,6,"Tuesday, November 13, 2012 03:11:26 UTC",-20.4677,-69.0119,5.0,91.50,268,"Tarapaca, Chile"
ak,10599157,3,"Tuesday, November 13, 2012 02:24:00 UTC",57.5881,-142.8559,3.2,11.90,61,"Gulf of Alaska"
ak,10601985,2,"Tuesday, November 13, 2012 02:22:56 UTC",57.5131,-142.8278,3.2,10.00,33,"Gulf of Alaska"
ak,10599148,3,"Tuesday, November 13, 2012 02:18:13 UTC",64.9289,-151.1937,2.7,18.80,36,"Central Alaska"
ak,10599138,2,"Tuesday, November 13, 2012 02:12:43 UTC",57.5553,-142.8634,3.2,12.00,60,"Gulf of Alaska"
ak,10601982,2,"Tuesday, November 13, 2012 02:11:17 UTC",57.5962,-142.9093,3.1,10.00,32,"Gulf of Alaska"
ak,10601977,2,"Tuesday, November 13, 2012 01:57:15 UTC",57.5348,-142.8054,2.8,10.00,44,"Gulf of Alaska"
ak,10599118,1,"Tuesday, November 13, 2012 01:57:00 UTC",56.8100,-142.4385,3.4,0.10,16,"Gulf of Alaska"
us,c000drkd,6,"Tuesday, November 13, 2012 01:56:45 UTC",-1.7773,-81.5940,5.0,34.80,258,"off the coast of Ecuador"
us,c000drkc,4,"Tuesday, November 13, 2012 01:52:20 UTC",19.2380,96.0819,4.8,18.20,23,"Myanmar"
ak,10601965,2,"Tuesday, November 13, 2012 00:43:36 UTC",57.6035,-142.7767,2.9,12.00,27,"Gulf of Alaska"
ci,15244329,2,"Tuesday, November 13, 2012 00:19:16 UTC",35.5107,-116.2462,2.9,0.00,31,"Southern California"
us,c000drje,7,"Tuesday, November 13, 2012 00:12:00 UTC",10.3624,-85.5481,4.2,39.60,42,"Costa Rica"
ak,10599039,2,"Monday, November 12, 2012 23:54:04 UTC",57.5692,-142.9026,3.9,12.00,78,"Gulf of Alaska"
ak,10599024,2,"Monday, November 12, 2012 23:38:15 UTC",57.6567,-142.8316,2.5,4.60,21,"Gulf of Alaska"
ak,10599015,2,"Monday, November 12, 2012 23:30:04 UTC",57.5493,-142.8132,2.9,11.90,24,"Gulf of Alaska"
ak,10598997,2,"Monday, November 12, 2012 23:18:57 UTC",57.5203,-142.8435,3.5,12.20,51,"Gulf of Alaska"
us,c000drir,8,"Monday, November 12, 2012 23:18:42 UTC",42.5576,19.0212,4.6,14.00,71,"Montenegro"
us,c000dril,5,"Monday, November 12, 2012 23:02:24 UTC",-37.7612,77.9166,4.8,9.90,28,"Mid-Indian Ridge"
ak,10598971,2,"Monday, November 12, 2012 22:53:39 UTC",57.5061,-142.8097,3.3,9.80,45,"Gulf of Alaska"
ak,10598825,2,"Monday, November 12, 2012 22:41:42 UTC",56.0412,-152.7121,3.3,0.00,19,"Kodiak Island region, Alaska"
ak,10598820,2,"Monday, November 12, 2012 22:34:50 UTC",57.5361,-142.8006,2.9,10.00,28,"Gulf of Alaska"
ak,10598812,2,"Monday, November 12, 2012 22:20:52 UTC",57.4965,-142.5810,4.3,20.00,32,"Gulf of Alaska"
ak,10598808,2,"Monday, November 12, 2012 22:18:46 UTC",57.5445,-142.8024,4.2,11.80,38,"Gulf of Alaska"
ak,10598802,1,"Monday, November 12, 2012 22:16:42 UTC",57.8604,-142.8138,3.4,56.70,32,"Gulf of Alaska"
ak,10598785,1,"Monday, November 12, 2012 21:51:57 UTC",56.7390,-143.2325,3.4,0.00,19,"Gulf of Alaska"
ak,10598771,1,"Monday, November 12, 2012 21:41:14 UTC",58.9969,-142.7702,2.5,39.60,22,"Gulf of Alaska"
ak,10598762,2,"Monday, November 12, 2012 21:33:14 UTC",57.5580,-143.0600,2.5,52.00,10,"Gulf of Alaska"
ak,10598753,2,"Monday, November 12, 2012 21:29:59 UTC",57.5943,-142.7593,3.2,46.90,32,"Gulf of Alaska"
ak,10598740,2,"Monday, November 12, 2012 21:08:15 UTC",57.5403,-142.8041,3.6,11.90,40,"Gulf of Alaska"
ak,10598734,2,"Monday, November 12, 2012 20:57:58 UTC",57.7451,-142.9552,2.7,0.00,19,"Gulf of Alaska"
ak,10598710,3,"Monday, November 12, 2012 20:42:17 UTC",57.6049,-142.8986,6.4,12.00,43,"Gulf of Alaska"
ak,10598686,2,"Monday, November 12, 2012 20:07:29 UTC",59.8518,-153.2471,2.5,114.60,50,"Southern Alaska"
ci,15244225,3,"Monday, November 12, 2012 17:51:18 UTC",35.5082,-116.2498,2.6,0.00,28,"Southern California"
us,c000dr8u,C,"Monday, November 12, 2012 14:58:14 UTC",-17.5387,-173.2497,5.0,35.00,99,"Tonga"
us,c000dr8h,9,"Monday, November 12, 2012 14:47:43 UTC",-24.1860,178.9193,5.3,568.40,311,"south of the Fiji Islands"
ak,10597459,2,"Monday, November 12, 2012 14:09:59 UTC",52.7380,-173.6013,3.9,135.60,29,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60473627,1,"Monday, November 12, 2012 13:30:16 UTC",43.2480,-116.8010,2.9,0.00,11,"southern Idaho"
nc,71880895,3,"Monday, November 12, 2012 13:16:45 UTC",36.3020,-120.8390,2.7,9.90,100,"Central California"
us,c000dr7f,4,"Monday, November 12, 2012 12:08:14 UTC",10.6681,-61.9728,4.6,78.50,40,"Sucre, Venezuela"
us,c000dr6y,B,"Monday, November 12, 2012 11:15:10 UTC",29.6955,138.1235,5.0,506.20,428,"Izu Islands, Japan region"
