Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c0006u3c,3,"Friday, November 18, 2011 07:31:41 UTC",37.3706,72.1385,4.7,216.30,47,"Tajikistan"
us,c0006u31,B,"Friday, November 18, 2011 06:57:54 UTC",1.2175,97.1299,4.7,40.40,45,"Nias region, Indonesia"
pr,11322002,0,"Friday, November 18, 2011 06:42:35 UTC",19.0149,-65.0015,3.1,20.10,12,"Virgin Islands region"
ak,10359729,1,"Friday, November 18, 2011 06:21:07 UTC",63.5899,-147.7987,3.1,0.20,43,"Central Alaska"
us,c0006u2h,9,"Friday, November 18, 2011 06:12:38 UTC",35.5365,-97.2947,2.6,5.00,30,"Oklahoma"
us,c0006u2a,8,"Friday, November 18, 2011 06:00:54 UTC",33.7111,-38.5086,5.3,9.90,317,"northern Mid-Atlantic Ridge"
us,c0006u0v,C,"Friday, November 18, 2011 04:34:07 UTC",-37.5856,179.2921,5.7,20.10,108,"off the east coast of the North Island of New Zealand"
ci,15076884,3,"Friday, November 18, 2011 04:33:20 UTC",35.1747,-119.3912,3.0,0.00,45,"Central California"
hv,60284801,1,"Friday, November 18, 2011 04:17:35 UTC",19.5387,-155.9232,2.8,10.40,54,"Island of Hawaii, Hawaii"
ak,10359698,2,"Friday, November 18, 2011 04:16:12 UTC",56.5711,-155.8996,2.6,73.20,10,"Alaska Peninsula"
pr,11322000,0,"Friday, November 18, 2011 03:08:42 UTC",18.5779,-67.6569,3.0,117.50, 6,"Puerto Rico region"
us,c0006tze,B,"Friday, November 18, 2011 02:43:54 UTC",-37.7628,179.4184,5.2,18.40,46,"off the east coast of the North Island of New Zealand"
nn,00355913,8,"Friday, November 18, 2011 01:10:54 UTC",37.1807,-117.3768,2.5,12.70,17,"Nevada"
ak,10359564,2,"Friday, November 18, 2011 01:10:18 UTC",55.9145,-160.3093,3.8,144.80,24,"Alaska Peninsula"
ci,15076828,4,"Friday, November 18, 2011 01:07:01 UTC",36.2305,-118.3197,2.5,5.60,42,"Central California"
ak,10359518,1,"Thursday, November 17, 2011 22:38:07 UTC",58.6510,-153.4398,2.5,55.30, 6,"Kodiak Island region, Alaska"
ak,10359508,1,"Thursday, November 17, 2011 22:21:21 UTC",60.5863,-147.9581,2.5,8.30,17,"Southern Alaska"
nc,71683076,2,"Thursday, November 17, 2011 20:28:52 UTC",40.6097,-121.9078,2.5,21.20,27,"Northern California"
ak,10359417,1,"Thursday, November 17, 2011 20:04:18 UTC",63.2116,-150.4733,2.8,120.80,37,"Central Alaska"
us,c0006tsd,4,"Thursday, November 17, 2011 19:04:52 UTC",12.0677,143.8188,5.1,43.10,91,"Guam region"
ak,10359361,1,"Thursday, November 17, 2011 18:41:54 UTC",60.0471,-153.0805,2.9,112.30,11,"Southern Alaska"
pr,11321003,0,"Thursday, November 17, 2011 15:53:12 UTC",19.0366,-64.3786,3.7,22.50,20,"Virgin Islands region"
nc,71682971,3,"Thursday, November 17, 2011 15:36:39 UTC",40.8343,-124.2787,2.8,20.60,27,"offshore Northern California"
us,c0006tne,5,"Thursday, November 17, 2011 15:33:36 UTC",-17.6188,-172.7502,5.0,37.10,70,"Tonga region"
us,c0006tm7,9,"Thursday, November 17, 2011 13:31:00 UTC",14.0330,-91.6340,5.6,46.10,348,"offshore Guatemala"
us,c0006tm1,8,"Thursday, November 17, 2011 13:06:41 UTC",14.0141,-91.6113,5.0,74.60,296,"offshore Guatemala"
us,c0006tlr,7,"Thursday, November 17, 2011 12:44:48 UTC",14.0347,-91.7988,4.6,38.70,157,"offshore Guatemala"
us,c0006tlm,4,"Thursday, November 17, 2011 12:38:33 UTC",38.7771,43.3777,4.5,10.70,28,"eastern Turkey"
ci,15076564,4,"Thursday, November 17, 2011 11:05:24 UTC",32.1595,-115.3335,2.5,10.00,23,"Baja California, Mexico"
ci,15076556,2,"Thursday, November 17, 2011 10:57:12 UTC",32.2115,-115.3387,2.5,10.00,22,"Baja California, Mexico"
us,c0006tj7,7,"Thursday, November 17, 2011 09:43:02 UTC",35.6755,141.6491,5.1,17.40,200,"near the east coast of Honshu, Japan"
us,c0006tiy,3,"Thursday, November 17, 2011 09:18:09 UTC",4.1157,128.2223,4.5,76.00,23,"north of Halmahera, Indonesia"
us,c0006tiv,5,"Thursday, November 17, 2011 09:14:10 UTC",-22.0428,170.4765,4.8,87.10,24,"southeast of the Loyalty Islands"
us,c0006tik,8,"Thursday, November 17, 2011 08:34:34 UTC",38.9391,141.8181,4.7,59.20,80,"near the east coast of Honshu, Japan"
us,c0006ti5,7,"Thursday, November 17, 2011 07:50:57 UTC",-2.6906,122.8974,4.7,14.80,31,"Sulawesi, Indonesia"
us,c0006ti4,6,"Thursday, November 17, 2011 07:45:31 UTC",-17.8236,-178.6924,4.5,583.70,39,"Fiji region"
us,c0006tht,7,"Thursday, November 17, 2011 07:17:00 UTC",8.5699,-102.8581,4.5,10.10,58,"northern East Pacific Rise"
us,c0006thl,5,"Thursday, November 17, 2011 06:58:50 UTC",-6.2899,129.9404,4.7,155.90,36,"Banda Sea"
us,c0006thi,H,"Thursday, November 17, 2011 06:52:41 UTC",8.5190,-103.0716,5.6,10.10,104,"northern East Pacific Rise"
us,c0006thc,5,"Thursday, November 17, 2011 06:25:50 UTC",-37.4950,-73.2645,4.5,27.30,15,"Bio-Bio, Chile"
us,c0006th6,9,"Thursday, November 17, 2011 06:11:52 UTC",8.3278,-103.1900,4.8,10.00,162,"northern East Pacific Rise"
pr,11321001,0,"Thursday, November 17, 2011 05:22:52 UTC",18.9270,-64.3740,3.2,33.70, 5,"Virgin Islands region"
pr,11321002,0,"Thursday, November 17, 2011 03:42:57 UTC",19.1560,-68.3460,3.3,45.80, 7,"Dominican Republic region"
nc,71682661,6,"Thursday, November 17, 2011 03:13:22 UTC",40.4270,-125.2117,3.2,23.80,65,"offshore Northern California"
us,c0006tfr,6,"Thursday, November 17, 2011 02:37:21 UTC",39.1105,41.5372,4.8,19.40,83,"eastern Turkey"
ak,10359157,1,"Thursday, November 17, 2011 02:15:34 UTC",60.3611,-147.8300,2.6,13.40,15,"Southern Alaska"
us,c0006tfj,C,"Thursday, November 17, 2011 01:57:05 UTC",-1.7778,-81.5507,5.7,29.80,376,"off the coast of Ecuador"
ak,10359115,1,"Thursday, November 17, 2011 01:06:59 UTC",62.3851,-151.7463,2.6,106.70,23,"Central Alaska"
ak,10359631,2,"Wednesday, November 16, 2011 23:33:59 UTC",57.3308,-154.7939,2.6,70.00,15,"Kodiak Island region, Alaska"
us,c0006t47,5,"Wednesday, November 16, 2011 22:05:54 UTC",65.2309,145.8449,5.1,15.80,243,"southwestern Sakha, Russia"
ak,10358880,3,"Wednesday, November 16, 2011 20:35:10 UTC",54.6815,-161.4874,2.9,33.10,22,"Alaska Peninsula"
hv,60284421,1,"Wednesday, November 16, 2011 20:27:32 UTC",20.1353,-155.3288,2.6,5.40,53,"Hawaii region, Hawaii"
